Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot
Painted Skies,Marathi,5.2,2 h 2 min,1999.0,13+,The story follows a corporate executive who chases a lifelong dream against all odds in the years following independence.
Arjun's Wedding,Bengali,6.9,3 h 8 min,1987.0,13+,"The story follows a college student who seeks revenge after a devastating betrayal in the shadow of a rapidly changing society. What unfolds is a tale of courage, sacrifice, and hope."
The Inheritance,Telugu,5.7,2 h 17 min,1997.0,18+,The story follows a small-town teacher who discovers a conspiracy that threatens everyone they love.
Priya Sharma,English,6.9,2 h 11 min,2010.0,13+,The story follows a young musician who discovers a conspiracy that threatens everyone they love in a quiet coastal village.
The Outsiders,Hindi,6.2,2 h 25 min,1990.0,All,The story follows a grieving widow who tries to rebuild their life after tragedy in a bustling metropolitan city.
The Inheritance,Hindi,6.7,2 h 7 min,2024.0,16+,The story follows a wealthy businessman who risks everything to save someone they love against the backdrop of a festival season.
Midnight Run,Hindi,4.1,1 h 57 min,2018.0,13+,The story follows a wealthy businessman who seeks revenge after a devastating betrayal against the backdrop of a festival season.
Reckoning,Marathi,6.6,2 h 13 min,2002.0,18+,The story follows a wealthy businessman who is forced to choose between duty and family in a bustling metropolitan city.
Vortex II,Marathi,8.3,1 h 50 min,2002.0,13+,"The story follows a corporate executive who tries to rebuild their life after tragedy in a bustling metropolitan city. What unfolds is a tale of courage, sacrifice, and hope."
The Homecoming,Punjabi,7.2,2 h 48 min,2018.0,13+,The story follows an aspiring writer who discovers a conspiracy that threatens everyone they love in the vibrant world of the entertainment industry.
Wild Winds,Hindi,7.0,2 h 21 min,2022.0,13+,"The story follows a rookie police officer who tries to rebuild their life after tragedy in the vibrant world of the entertainment industry. What unfolds is a tale of courage, sacrifice, and hope."
Karan's Story,Telugu,5.9,2 h 6 min,2015.0,13+,The story follows a rookie police officer who gets entangled in a dangerous political game.
The Escape,Tamil,7.3,3 h 1 min,1970.0,7+,The story follows a famous chef who uncovers the truth behind a decades-old mystery in the shadow of a rapidly changing society.
Amit Singh,English,4.0,2 h 56 min,2017.0,16+,The story follows a grieving widow who fights to protect their community from a powerful enemy.
Ravi Chopra,Telugu,6.7,1 h 40 min,1990.0,All,The story follows a talented dancer who struggles to reconnect with estranged family in a quiet coastal village.
Rohan's Diary,Tamil,6.2,2 h 51 min,2020.0,18+,The story follows a famous chef who is forced to choose between duty and family against the backdrop of a festival season.
Amit's Journey,Tamil,6.2,1 h 30 min,2007.0,18+,The story follows an aspiring writer who fights to protect their community from a powerful enemy in the shadow of a rapidly changing society. Friendships are tested and loyalties are questioned throughout.
Harish's Diary,Kannada,7.7,2 h 15 min,2006.0,18+,The story follows a college student who uncovers the truth behind a decades-old mystery across the sprawling countryside.
Endless Night,English,5.2,1 h 45 min,1998.0,7+,The story follows a corporate executive who discovers a conspiracy that threatens everyone they love against the backdrop of a festival season. Friendships are tested and loyalties are questioned throughout.
The Journey Home,Hindi,5.7,1 h 22 min,1994.0,13+,The story follows a fishing boat captain who chases a lifelong dream against all odds in a bustling metropolitan city.
Rahul's Promise,Hindi,7.4,2 h 51 min,2004.0,18+,The story follows a famous chef who fights to protect their community from a powerful enemy across the sprawling countryside.
Turning Point,Hindi,7.3,2 h 41 min,2019.0,16+,The story follows a small-time con artist who battles personal demons while chasing redemption against the backdrop of a festival season.
Arjun's Diary,Tamil,6.5,1 h 25 min,2014.0,All,"The story follows a small-time con artist who falls into a forbidden romance in a bustling metropolitan city. What unfolds is a tale of courage, sacrifice, and hope."
Fading Memories,English,5.0,3 h 1 min,2005.0,18+,"The story follows a talented dancer who must confront a dark family secret across the sprawling countryside. What unfolds is a tale of courage, sacrifice, and hope."
The Verdict,Hindi,7.6,1 h 20 min,2017.0,18+,The story follows a rookie police officer who risks everything to save someone they love in a bustling metropolitan city.
Falling Leaves,Tamil,7.5,1 h 47 min,2018.0,All,The story follows a school principal who chases a lifelong dream against all odds in a quiet coastal village.
Burning Bridges,Hindi,,1 h 54 min,2011.0,18+,The story follows a rebellious teenager who gets entangled in a dangerous political game during a turbulent political upheaval. The journey forces difficult choices with lasting consequences.
Zenith,Malayalam,5.9,2 h 31 min,2019.0,18+,The story follows a fishing boat captain who uncovers the truth behind a decades-old mystery in a bustling metropolitan city. Friendships are tested and loyalties are questioned throughout.
Ravi Mehta,Telugu,,2 h 8 min,2019.0,All,The story follows a village farmer who must outsmart a ruthless rival to survive within the walls of a traditional joint family.
Thunder Begins,Tamil,4.5,2 h 54 min,2008.0,13+,The story follows a fishing boat captain who seeks revenge after a devastating betrayal amid the chaos of a natural disaster.
Legacy,Marathi,4.7,2 h 14 min,2011.0,16+,The story follows an undercover agent who must confront a dark family secret within the walls of a traditional joint family.
Turning Point,Hindi,5.1,2 h 44 min,2021.0,13+,The story follows an aspiring writer who is forced to choose between duty and family in a quiet coastal village. Friendships are tested and loyalties are questioned throughout.
Bloodline 3,Telugu,8.2,2 h 17 min,2006.0,All,The story follows a grieving widow who is forced to choose between duty and family in the vibrant world of the entertainment industry.
Deepa Rathore,English,4.2,2 h 25 min,2001.0,16+,The story follows a college student who seeks revenge after a devastating betrayal in the years following independence. The journey forces difficult choices with lasting consequences.
Meera Pandey,Punjabi,9.4,1 h 39 min,1995.0,13+,The story follows a fishing boat captain who uncovers the truth behind a decades-old mystery across the sprawling countryside.
Shadows,English,5.7,1 h 31 min,1998.0,18+,The story follows a corporate executive who seeks revenge after a devastating betrayal against the backdrop of a festival season.
Khopa 2,Tamil,7.9,2 h 11 min,2001.0,18+,"The story follows a college student who risks everything to save someone they love within the walls of a traditional joint family. Along the way, unexpected alliances are formed and tested."
Guardian 2,Tamil,7.5,1 h 53 min,1985.0,7+,The story follows a corporate executive who uncovers the truth behind a decades-old mystery in the vibrant world of the entertainment industry.
Kavya's Diary,English,7.9,3 h 5 min,2012.0,13+,The story follows a fishing boat captain who struggles to reconnect with estranged family in a bustling metropolitan city.
Eclipse,Telugu,7.0,2 h 25 min,1984.0,All,The story follows a small-time con artist who chases a lifelong dream against all odds in the shadow of a rapidly changing society.
Horizon,English,6.7,3 h 5 min,2006.0,16+,The story follows a college student who uncovers the truth behind a decades-old mystery.
Final Chapter,Hindi,6.8,1 h 33 min,1984.0,All,The story follows a grieving widow who struggles to reconnect with estranged family in the shadow of a rapidly changing society.
Khandani Returns,Telugu,7.0,3 h 15 min,1998.0,13+,The story follows a small-time con artist who discovers a conspiracy that threatens everyone they love in the shadow of a rapidly changing society. Friendships are tested and loyalties are questioned throughout.
Rekha Rao,Hindi,5.3,2 h 30 min,2023.0,18+,The story follows a college student who struggles to reconnect with estranged family in a bustling metropolitan city.
Silent Echo,Tamil,4.4,1 h 50 min,1993.0,13+,"The story follows a talented dancer who discovers a conspiracy that threatens everyone they love within the walls of a traditional joint family. What unfolds is a tale of courage, sacrifice, and hope."
Deepa Reddy,Kannada,6.0,3 h 15 min,2004.0,18+,"The story follows a small-town teacher who sets out on a journey of self-discovery in a quiet coastal village. What unfolds is a tale of courage, sacrifice, and hope."
Crimson,Marathi,5.4,1 h 15 min,2014.0,13+,The story follows a famous chef who must confront a dark family secret during a turbulent political upheaval.
Nikhil's Promise,Telugu,6.7,3 h 13 min,1999.0,18+,The story follows a talented dancer who discovers a conspiracy that threatens everyone they love in a bustling metropolitan city.
Tara's Revenge,Telugu,7.6,1 h 16 min,2010.0,All,The story follows an ambitious lawyer who sets out on a journey of self-discovery in a quiet coastal village.
Turning Point,Bengali,6.0,2 h 16 min,2024.0,7+,The story follows a corporate executive who falls into a forbidden romance in the vibrant world of the entertainment industry. The narrative builds to an emotional and unforgettable climax.
Isha's Dream,Marathi,5.2,2 h 56 min,2020.0,7+,"The story follows an aspiring writer who seeks revenge after a devastating betrayal in a bustling metropolitan city. What unfolds is a tale of courage, sacrifice, and hope."
Vijay's Promise,Marathi,5.3,2 h 52 min,2010.0,13+,The story follows an undercover agent who risks everything to save someone they love during a turbulent political upheaval.
The Crossing,English,6.4,2 h 7 min,1981.0,16+,The story follows a rebellious teenager who gets entangled in a dangerous political game.
Turning Point,Punjabi,7.3,1 h 27 min,2021.0,13+,The story follows an aspiring writer who battles personal demons while chasing redemption within the walls of a traditional joint family. The journey forces difficult choices with lasting consequences.
Genesis 3,Hindi,6.1,1 h 48 min,2001.0,16+,The story follows a retired soldier who risks everything to save someone they love amid the chaos of a natural disaster.
Rahul's Secret,Telugu,4.9,2 h 34 min,1984.0,16+,The story follows a grieving widow who is forced to choose between duty and family in a quiet coastal village.
Catalyst,Telugu,6.4,1 h 36 min,2015.0,18+,"The story follows a small-town teacher who tries to rebuild their life after tragedy in a bustling metropolitan city. What unfolds is a tale of courage, sacrifice, and hope."
Mirage 3,Tamil,6.5,1 h 25 min,2012.0,13+,The story follows a wealthy businessman who sets out on a journey of self-discovery in the shadow of a rapidly changing society. Friendships are tested and loyalties are questioned throughout.
Amit Rao,Telugu,5.7,2 h 14 min,2022.0,16+,The story follows a single mother who discovers a conspiracy that threatens everyone they love within the walls of a traditional joint family.
Sneha's Diary,Telugu,4.9,3 h 4 min,2008.0,7+,"The story follows a fishing boat captain who tries to rebuild their life after tragedy in the shadow of a rapidly changing society. What unfolds is a tale of courage, sacrifice, and hope."
Warpath,English,,3 h 5 min,2015.0,16+,The story follows a small-town teacher who battles personal demons while chasing redemption in the shadow of a rapidly changing society.
Nikhil Chopra,Telugu,9.5,2 h 36 min,1993.0,7+,The story follows a struggling artist who must outsmart a ruthless rival to survive in a quiet coastal village.
Solace,Malayalam,5.9,3 h 11 min,1999.0,16+,The story follows a single mother who is forced to choose between duty and family against the backdrop of a festival season.
Suresh Mehta,Bengali,6.7,1 h 47 min,2022.0,18+,The story follows a grieving widow who chases a lifelong dream against all odds amid the chaos of a natural disaster.
Loafer 3,Malayalam,5.6,2 h 5 min,2024.0,18+,The story follows a village farmer who discovers a conspiracy that threatens everyone they love in the vibrant world of the entertainment industry. The narrative builds to an emotional and unforgettable climax.
Tempest,English,4.8,1 h 48 min,2011.0,18+,"The story follows a village farmer who discovers a conspiracy that threatens everyone they love. Along the way, unexpected alliances are formed and tested."
Raj's Secret,Bengali,8.2,3 h 11 min,2015.0,16+,The story follows an ambitious lawyer who falls into a forbidden romance in a bustling metropolitan city.
Neha Reddy,Hindi,7.1,1 h 32 min,2004.0,13+,The story follows a corporate executive who gets entangled in a dangerous political game in the shadow of a rapidly changing society.
Midnight Run,Telugu,4.4,1 h 50 min,1979.0,13+,The story follows a small-time con artist who sets out on a journey of self-discovery during a turbulent political upheaval.
Requiem,English,4.6,2 h 37 min,2002.0,13+,The story follows a rookie police officer who discovers a conspiracy that threatens everyone they love within the walls of a traditional joint family. The journey forces difficult choices with lasting consequences.
Arjun's Journey,Malayalam,7.3,1 h 23 min,2020.0,13+,The story follows a fishing boat captain who is forced to choose between duty and family during a turbulent political upheaval. The journey forces difficult choices with lasting consequences.
Arjun's Wedding,Kannada,7.3,1 h 31 min,2010.0,18+,"The story follows an ambitious lawyer who must outsmart a ruthless rival to survive in a bustling metropolitan city. What unfolds is a tale of courage, sacrifice, and hope."
The Homecoming,English,8.0,2 h 22 min,1988.0,All,The story follows a small-time con artist who uncovers the truth behind a decades-old mystery amid the chaos of a natural disaster.
Renegade,Tamil,6.9,1 h 20 min,2016.0,18+,The story follows an aspiring writer who seeks revenge after a devastating betrayal within the walls of a traditional joint family.
Blackout,Gujarati,5.8,2 h 46 min,2022.0,All,The story follows a retired soldier who tries to rebuild their life after tragedy in the shadow of a rapidly changing society. The journey forces difficult choices with lasting consequences.
Rekha Rathore,Tamil,6.5,2 h 31 min,2009.0,13+,The story follows a school principal who gets entangled in a dangerous political game in a quiet coastal village.
Genesis,Telugu,6.2,2 h 12 min,2021.0,13+,The story follows a small-time con artist who gets entangled in a dangerous political game in the vibrant world of the entertainment industry.
Pooja Bose,Telugu,5.5,1 h 34 min,2015.0,13+,"The story follows a retired soldier who risks everything to save someone they love in a quiet coastal village. Along the way, unexpected alliances are formed and tested."
Tara Nair,Tamil,5.4,1 h 30 min,2005.0,18+,The story follows a famous chef who risks everything to save someone they love in a bustling metropolitan city.
Sneha's Secret,Hindi,5.9,1 h 34 min,2014.0,7+,"The story follows an ambitious lawyer who tries to rebuild their life after tragedy across the sprawling countryside. What unfolds is a tale of courage, sacrifice, and hope."
Kavya's Diary,Kannada,6.9,2 h 37 min,2010.0,16+,"The story follows a college student who must confront a dark family secret against the backdrop of a festival season. What unfolds is a tale of courage, sacrifice, and hope."
Divya Sharma,Hindi,4.9,2 h 39 min,2004.0,All,The story follows a young musician who discovers a conspiracy that threatens everyone they love across the sprawling countryside. Friendships are tested and loyalties are questioned throughout.
Vortex 3,English,6.5,1 h 25 min,2021.0,All,The story follows a school principal who must confront a dark family secret. Friendships are tested and loyalties are questioned throughout.
Guardian Reloaded,English,4.9,2 h 51 min,2009.0,7+,The story follows an ambitious lawyer who seeks revenge after a devastating betrayal.
Sanctuary Begins,English,6.7,1 h 41 min,2000.0,7+,"The story follows a struggling artist who uncovers the truth behind a decades-old mystery in the years following independence. Along the way, unexpected alliances are formed and tested."
Guardian,Malayalam,6.3,2 h 3 min,2010.0,7+,The story follows a corporate executive who risks everything to save someone they love.
Crimson,Marathi,8.8,3 h 5 min,2000.0,13+,The story follows a rebellious teenager who chases a lifelong dream against all odds.
Crimson,Hindi,6.6,2 h 57 min,2023.0,13+,The story follows a village farmer who discovers a conspiracy that threatens everyone they love in the vibrant world of the entertainment industry.
Final Chapter,Tamil,5.5,1 h 58 min,1995.0,18+,The story follows a retired soldier who fights to protect their community from a powerful enemy. The narrative builds to an emotional and unforgettable climax.
Tears of Joy,English,6.9,2 h 59 min,2014.0,All,The story follows an ambitious lawyer who falls into a forbidden romance in the years following independence. The narrative builds to an emotional and unforgettable climax.
Song of the Sea,Malayalam,7.8,2 h 14 min,2017.0,18+,The story follows a small-time con artist who must outsmart a ruthless rival to survive in the shadow of a rapidly changing society.
Karan's Secret,Hindi,5.8,2 h 11 min,2013.0,18+,The story follows a fishing boat captain who must confront a dark family secret amid the chaos of a natural disaster.
Amit Singh,Hindi,5.9,3 h 4 min,1986.0,13+,The story follows a rebellious teenager who sets out on a journey of self-discovery in the shadow of a rapidly changing society.
Renegade,Marathi,7.8,1 h 39 min,2001.0,13+,"The story follows a struggling artist who must confront a dark family secret within the walls of a traditional joint family. What unfolds is a tale of courage, sacrifice, and hope."
Mayhem,Telugu,5.4,2 h 22 min,2009.0,All,"The story follows a village farmer who battles personal demons while chasing redemption in the years following independence. What unfolds is a tale of courage, sacrifice, and hope."
Priya's Secret,Hindi,3.0,2 h 41 min,2004.0,7+,The story follows a school principal who risks everything to save someone they love against the backdrop of a festival season. The narrative builds to an emotional and unforgettable climax.
Painted Skies,English,6.0,2 h 45 min,2023.0,7+,The story follows a rebellious teenager who must outsmart a ruthless rival to survive amid the chaos of a natural disaster.
Ravi's Diary,Tamil,,1 h 54 min,1993.0,7+,The story follows a talented dancer who is forced to choose between duty and family during a turbulent political upheaval.
Last Stand,English,5.8,2 h 19 min,2018.0,18+,The story follows an aspiring writer who must confront a dark family secret. The narrative builds to an emotional and unforgettable climax.
The Reunion,English,7.2,2 h 58 min,2022.0,16+,The story follows a small-town teacher who gets entangled in a dangerous political game amid the chaos of a natural disaster.
New Beginnings,Telugu,4.7,2 h 55 min,2006.0,13+,The story follows a grieving widow who uncovers the truth behind a decades-old mystery within the walls of a traditional joint family.
Broken Promises,Telugu,4.5,2 h 54 min,2003.0,13+,The story follows a single mother who risks everything to save someone they love during a turbulent political upheaval.
Wild Winds,Hindi,7.0,2 h 2 min,2010.0,All,The story follows an aspiring writer who risks everything to save someone they love in a quiet coastal village. The journey forces difficult choices with lasting consequences.
Amit Mehta,Hindi,7.0,2 h 12 min,2021.0,18+,The story follows a famous chef who must confront a dark family secret in the vibrant world of the entertainment industry.
Shattered Glass,Gujarati,6.0,1 h 18 min,2000.0,All,"The story follows an undercover agent who uncovers the truth behind a decades-old mystery against the backdrop of a festival season. What unfolds is a tale of courage, sacrifice, and hope."
Zenith 3,Malayalam,4.5,1 h 17 min,1997.0,18+,The story follows a corporate executive who chases a lifelong dream against all odds in the shadow of a rapidly changing society.
Inferno,Hindi,4.7,1 h 45 min,2005.0,18+,The story follows a small-time con artist who discovers a conspiracy that threatens everyone they love in a quiet coastal village.
Silhouette Reloaded,Hindi,6.3,2 h 9 min,1971.0,13+,The story follows a fishing boat captain who gets entangled in a dangerous political game against the backdrop of a festival season.
Sanctuary,Punjabi,6.9,2 h 22 min,2010.0,18+,The story follows an aspiring writer who fights to protect their community from a powerful enemy in a bustling metropolitan city. Friendships are tested and loyalties are questioned throughout.
Catalyst,English,6.3,1 h 23 min,2002.0,16+,The story follows an ambitious lawyer who uncovers the truth behind a decades-old mystery in the shadow of a rapidly changing society.
Vikram Verma,English,5.3,2 h 37 min,1992.0,18+,The story follows a small-time con artist who chases a lifelong dream against all odds within the walls of a traditional joint family.
Last Stand,Telugu,7.0,2 h 56 min,1994.0,All,The story follows a grieving widow who fights to protect their community from a powerful enemy in the vibrant world of the entertainment industry.
Neha's Wedding,Hindi,6.5,1 h 51 min,2002.0,18+,The story follows an undercover agent who seeks revenge after a devastating betrayal in a quiet coastal village.
Crimson Begins,English,5.9,2 h 43 min,2008.0,18+,The story follows an aspiring writer who seeks revenge after a devastating betrayal in a quiet coastal village.
Uproar,Telugu,6.9,2 h 24 min,1999.0,All,The story follows an undercover agent who must outsmart a ruthless rival to survive in the years following independence. The narrative builds to an emotional and unforgettable climax.
Ashes Begins,English,5.9,2 h 33 min,2024.0,7+,The story follows a small-town teacher who discovers a conspiracy that threatens everyone they love.
Suresh Kapoor,Punjabi,3.9,2 h 32 min,2015.0,13+,The story follows a struggling artist who discovers a conspiracy that threatens everyone they love during a turbulent political upheaval.
Divya Joshi,Bengali,7.0,2 h 2 min,2003.0,18+,"The story follows a fishing boat captain who falls into a forbidden romance across the sprawling countryside. What unfolds is a tale of courage, sacrifice, and hope."
Kavya Reddy,Hindi,7.3,2 h 21 min,2004.0,13+,The story follows a college student who uncovers the truth behind a decades-old mystery in the years following independence.
The Escape,English,5.7,3 h 4 min,1984.0,All,The story follows a small-time con artist who discovers a conspiracy that threatens everyone they love.
Deepa Gupta,Telugu,6.3,1 h 52 min,2021.0,18+,The story follows a single mother who uncovers the truth behind a decades-old mystery amid the chaos of a natural disaster.
Shadows,Malayalam,5.3,2 h 28 min,2003.0,18+,The story follows a corporate executive who falls into a forbidden romance in the shadow of a rapidly changing society.
Solace,English,6.3,2 h 16 min,2009.0,18+,The story follows a fishing boat captain who discovers a conspiracy that threatens everyone they love against the backdrop of a festival season.
Renegade,Tamil,7.7,2 h 25 min,2013.0,All,The story follows a struggling artist who gets entangled in a dangerous political game across the sprawling countryside.
Khandani,Tamil,7.8,1 h 35 min,2001.0,16+,The story follows a village farmer who fights to protect their community from a powerful enemy in the years following independence.
Rohan Pandey,Hindi,5.9,2 h 37 min,1992.0,18+,The story follows a struggling artist who falls into a forbidden romance.
Karan's Journey,Kannada,,1 h 20 min,2023.0,18+,The story follows a college student who must outsmart a ruthless rival to survive during a turbulent political upheaval.
Aftermath Begins,Hindi,6.0,2 h 24 min,1999.0,18+,The story follows a talented dancer who is forced to choose between duty and family.
Loafer Begins,Hindi,5.6,2 h 32 min,1990.0,18+,The story follows an undercover agent who chases a lifelong dream against all odds amid the chaos of a natural disaster.
Song of the Sea,English,6.4,1 h 55 min,1996.0,All,"The story follows a small-time con artist who is forced to choose between duty and family against the backdrop of a festival season. What unfolds is a tale of courage, sacrifice, and hope."
Aftermath Returns,Hindi,6.8,2 h 28 min,2016.0,All,The story follows a single mother who sets out on a journey of self-discovery across the sprawling countryside.
Neha Sharma,Hindi,7.1,2 h 13 min,2024.0,7+,The story follows a village farmer who must confront a dark family secret in a bustling metropolitan city. The narrative builds to an emotional and unforgettable climax.
Inferno Reloaded,Hindi,6.9,2 h 1 min,2018.0,13+,The story follows a rebellious teenager who must confront a dark family secret in the shadow of a rapidly changing society.
Anjali Menon,Hindi,6.9,2 h 52 min,2010.0,18+,"The story follows a school principal who must outsmart a ruthless rival to survive in the shadow of a rapidly changing society. Along the way, unexpected alliances are formed and tested."
Odyssey II,Tamil,7.2,2 h 6 min,2008.0,All,The story follows a struggling artist who chases a lifelong dream against all odds amid the chaos of a natural disaster.
Amit's Dream,Telugu,7.5,1 h 56 min,2023.0,7+,The story follows a rebellious teenager who struggles to reconnect with estranged family in the years following independence.
Harish's Promise,Telugu,6.7,2 h 41 min,1987.0,13+,The story follows a grieving widow who uncovers the truth behind a decades-old mystery. Friendships are tested and loyalties are questioned throughout.
Manoj Rathore,Tamil,5.3,2 h 29 min,2008.0,13+,The story follows a school principal who uncovers the truth behind a decades-old mystery in the vibrant world of the entertainment industry. The journey forces difficult choices with lasting consequences.
Karma,Bengali,7.2,1 h 34 min,2005.0,7+,The story follows an aspiring writer who uncovers the truth behind a decades-old mystery in the shadow of a rapidly changing society.
Wanderer,Tamil,6.4,2 h 39 min,2007.0,13+,"The story follows a single mother who sets out on a journey of self-discovery across the sprawling countryside. What unfolds is a tale of courage, sacrifice, and hope."
Rekha Das,Hindi,5.6,1 h 53 min,2018.0,16+,"The story follows a talented dancer who tries to rebuild their life after tragedy within the walls of a traditional joint family. What unfolds is a tale of courage, sacrifice, and hope."
Meera Rathore,Telugu,6.0,2 h 5 min,2019.0,18+,"The story follows a struggling artist who seeks revenge after a devastating betrayal in a bustling metropolitan city. Along the way, unexpected alliances are formed and tested."
Maya Singh,Telugu,6.8,1 h 49 min,2023.0,16+,The story follows a struggling artist who discovers a conspiracy that threatens everyone they love in the shadow of a rapidly changing society.
Empty Streets,Hindi,8.3,1 h 43 min,2013.0,All,The story follows a famous chef who tries to rebuild their life after tragedy within the walls of a traditional joint family. The journey forces difficult choices with lasting consequences.
Bloodline,Punjabi,5.0,2 h 15 min,2007.0,All,The story follows a grieving widow who tries to rebuild their life after tragedy in the years following independence.
Genesis,Tamil,4.4,2 h 47 min,2020.0,All,The story follows a single mother who gets entangled in a dangerous political game against the backdrop of a festival season.
Crimson,Malayalam,6.3,1 h 52 min,2021.0,All,The story follows a fishing boat captain who struggles to reconnect with estranged family in a quiet coastal village.
Sneha Singh,Gujarati,4.1,2 h 18 min,2021.0,All,"The story follows an aspiring writer who sets out on a journey of self-discovery in the years following independence. Along the way, unexpected alliances are formed and tested."
Ananya Singh,Telugu,7.3,1 h 52 min,2011.0,18+,The story follows a single mother who struggles to reconnect with estranged family.
Mayhem II,Hindi,6.4,1 h 38 min,2024.0,13+,The story follows a wealthy businessman who must confront a dark family secret in the years following independence. Friendships are tested and loyalties are questioned throughout.
Karan Menon,Tamil,6.2,1 h 45 min,1983.0,All,The story follows a grieving widow who falls into a forbidden romance in the vibrant world of the entertainment industry.
Sanjay Reddy,Telugu,7.3,2 h 2 min,2013.0,7+,The story follows a struggling artist who sets out on a journey of self-discovery against the backdrop of a festival season.
Divya's Diary,Telugu,6.4,3 h,1995.0,7+,The story follows a school principal who risks everything to save someone they love in a quiet coastal village.
Sanjay's Secret,Hindi,4.3,1 h 22 min,2020.0,18+,"The story follows a rookie police officer who struggles to reconnect with estranged family across the sprawling countryside. What unfolds is a tale of courage, sacrifice, and hope."
Amit's Story,Telugu,4.0,2 h 12 min,2019.0,13+,The story follows an aspiring writer who gets entangled in a dangerous political game within the walls of a traditional joint family.
Amit's Wedding,Malayalam,6.5,2 h 59 min,1972.0,7+,"The story follows a retired soldier who must confront a dark family secret in the vibrant world of the entertainment industry. Along the way, unexpected alliances are formed and tested."
Priya's Story,Gujarati,6.1,1 h 32 min,2018.0,18+,The story follows a famous chef who tries to rebuild their life after tragedy in the vibrant world of the entertainment industry.
Reckoning 2,Telugu,7.0,2 h 24 min,1989.0,18+,The story follows an ambitious lawyer who falls into a forbidden romance across the sprawling countryside. The journey forces difficult choices with lasting consequences.
